Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
0.0,Maruti,,450000.0,145500.0,,Individual,Manual,First Owner,5.0,74.0,kmpl,23.4,1248.0
2.0,,2010.0,225000.0,127000.0,Diesel,Individual,,First Owner,5.0,90.0,kmpl,23.0,1396.0
4.0,Hyundai,2017.0,440000.0,45000.0,Petrol,Individual,Manual,First Owner,5.0,81.86,kmpl,20.14,
7.0,TOYOTA,2011.0,350000.0,90000.0,Diesel,Individual,Manual,,5.0,,kmpl,23.59,1364.0
,Ford,2013.0,200000.0,169000.0,Diesel,Individual,Manual,First Owner,5.0,68.1,kmpl,20.0,1399.0
15.0,Hyundai,2012.0,500000.0,53000.0,Diesel,Individual,Manual,Second Owner,5.0,90.0,kmpl,23.0,1396.0
16.0,Maruti,2002.0,150000.0,80000.0,,Individual,Manual,Second Owner,5.0,,kmpl,19.7,796.0
17.0,Hyundai,2016.0,680000.0,100000.0,Diesel,Individual,Manual,First Owner,5.0,88.73,kmpl,22.54,1396.0
18.0,Mahindra,2011.0,174000.0,100000.0,Diesel,Individual,Manual,Second Owner,5.0,64.1,kmpl,21.0,1461.0
21.0,Maruti,2012.0,600000.0,72000.0,Diesel,Individual,Manual,First Owner,5.0,88.8,kmpl,21.5,1248.0
22.0,Tata,2018.0,500000.0,35000.0,Petrol,Individual,,First Owner,5.0,83.81,kmpl,20.3,1199.0
23.0,Maruti,2016.0,575000.0,45000.0,Petrol,Individual,Manual,First Owner,5.0,83.1,kmpl,21.4,1197.0
46.0,Maruti,2018.0,850000.0,64000.0,,Dealer,Manual,First Owner,5.0,103.25,kmpl,20.65,1462.0
51.0,Tata,2011.0,265000.0,120000.0,Diesel,Individual,Manual,First Owner,5.0,88.8,kmpl,21.12,
52.0,Hyundai,2011.0,190000.0,,Petrol,Individual,Manual,Third Owner,5.0,78.9,kmpl,20.36,1197.0
53.0,Hyundai,2013.0,425000.0,60000.0,Diesel,Individual,Manual,First Owner,5.0,88.76,kmpl,21.27,1396.0
56.0,MARUTI,2019.0,650000.0,30000.0,Petrol,,Manual,First Owner,,83.1,kmpl,21.4,1197.0
nan,Volkswagen,nan,540000.0,40000.0,Diesel,Individual,Manual,First Owner,5.0,108.495,kmpl,,1498.0
59.0,Maruti,2018.0,448000.0,30000.0,Petrol,Individual,Automatic,First Owner,5.0,67.0,kmpl,,998.0
60.0,,2017.0,500000.0,80000.0,Diesel,Individual,Manual,,,,kmpl,21.66,1498.0
63.0,Hyundai,2011.0,,60000.0,Petrol,Individual,Manual,Second Owner,5.0,78.9,kmpl,20.36,1197.0
66.0,Maruti,2013.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,,74.0,kmpl,22.9,1248.0
68.0,,2013.0,450000.0,170000.0,Diesel,Individual,Manual,,,103.6,kmpl,20.54,1598.0
70.0,Ford,2015.0,610000.0,90000.0,Diesel,Individual,Manual,First Owner,5.0,98.59,,,1498.0
71.0,Maruti,2017.0,484999.0,10000.0,Petrol,Dealer,Manual,First Owner,5.0,67.04,kmpl,23.1,998.0
74.0,Hyundai,2012.0,290000.0,28000.0,Petrol,Dealer,Manual,First Owner,5.0,68.05,kmpl,19.81,1086.0
78.0,,2015.0,351000.0,45000.0,,Dealer,,Second Owner,5.0,,kmpl,19.81,1086.0
NAN,MARUTI,,120000.0,68000.0,Petrol,Dealer,Manual,,5.0,46.3,kmpl,19.7,796.0
85.0,HYUNDAI,2017.0,725000.0,110000.0,Diesel,Individual,Manual,First Owner,5.0,88.73,kmpl,22.54,1396.0
86.0,Maruti,2009.0,185000.0,77000.0,Petrol,Dealer,Manual,Second Owner,5.0,67.05,kmpl,21.79,998.0
88.0,Maruti,2019.0,615000.0,10000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,21.21,1197.0
90.0,MARUTI,,610000.0,35000.0,Petrol,Individual,Manual,First Owner,5.0,83.1,kmpl,21.4,1197.0
98.0,Hyundai,2013.0,522000.0,150000.0,,Individual,Manual,Second Owner,5.0,126.32,kmpl,22.32,
99.0,,2013.0,451999.0,69000.0,,Individual,Manual,First Owner,5.0,88.76,kmpl,21.9,1396.0
101.0,,2020.0,475000.0,,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,,
103.0,Maruti,2017.0,595000.0,40000.0,Petrol,Individual,Manual,First Owner,,83.14,kmpl,20.85,1197.0
104.0,Maruti,2017.0,440000.0,35000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,20.51,998.0
105.0,Hyundai,2016.0,1140000.0,50000.0,Diesel,Individual,Manual,First Owner,5.0,126.2,kmpl,,1582.0
106.0,Ford,2017.0,850000.0,76139.0,Diesel,Individual,,First Owner,5.0,98.96,,23.0,1498.0
108.0,Renault,2018.0,350000.0,,Petrol,Individual,Manual,First Owner,5.0,67.0,,23.01,999.0
109.0,Maruti,2015.0,360000.0,40000.0,Petrol,Individual,,Second Owner,5.0,67.04,kmpl,23.1,998.0
110.0,Maruti,,105000.0,65000.0,,Individual,Manual,Fourth & Above Owner,5.0,46.3,kmpl,19.7,796.0
111.0,Maruti,2013.0,625000.0,90000.0,Diesel,Individual,Manual,Second Owner,7.0,88.76,kmpl,,1248.0
113.0,Maruti,2015.0,700000.0,110000.0,Diesel,Individual,Manual,Second Owner,7.0,88.76,kmpl,20.77,1248.0
126.0,Maruti,,340000.0,24300.0,Petrol,Dealer,Manual,First Owner,5.0,81.8,kmpl,21.21,1197.0
128.0,Tata,2018.0,1025000.0,8000.0,Diesel,Dealer,Automatic,First Owner,5.0,108.5,kmpl,21.5,1497.0
132.0,Volkswagen,2011.0,300000.0,100000.0,Diesel,Individual,Manual,Second Owner,5.0,103.6,kmpl,20.54,1598.0
134.0,Ford,2011.0,160000.0,120000.0,,Individual,Manual,,5.0,68.0,,20.0,1399.0
135.0,Maruti,2015.0,515000.0,36600.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,20.4,1197.0
136.0,Maruti,2015.0,390000.0,50000.0,Petrol,Individual,Automatic,Second Owner,5.0,67.0,kmpl,20.51,998.0
139.0,Maruti,2010.0,220000.0,,Diesel,Individual,,First Owner,5.0,73.9,kmpl,21.1,1248.0
,,2010.0,300000.0,,Diesel,Individual,Manual,First Owner,,87.2,kmpl,,1364.0
149.0,Tata,2017.0,490000.0,90000.0,Diesel,Individual,Manual,First Owner,5.0,74.0,kmpl,22.95,1248.0
154.0,Maruti,2016.0,459999.0,60000.0,Petrol,Individual,,Second Owner,5.0,83.14,kmpl,20.85,1197.0
158.0,,2019.0,520000.0,14000.0,Petrol,Individual,Manual,First Owner,5.0,84.0,kmpl,20.3,
159.0,Maruti,2015.0,580000.0,70000.0,Diesel,Individual,Manual,First Owner,,88.76,kmpl,20.77,1248.0
163.0,,2017.0,550000.0,50000.0,,Individual,Manual,First Owner,5.0,83.14,kmpl,20.85,1197.0
165.0,Maruti,,420000.0,35000.0,Petrol,Individual,Automatic,First Owner,5.0,67.0,kmpl,20.51,998.0
166.0,Maruti,2017.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,21.21,1197.0
168.0,MARUTI,2018.0,700000.0,7800.0,Petrol,Individual,Automatic,First Owner,5.0,81.8,kmpl,22.0,1197.0
169.0,Maruti,2017.0,500000.0,20000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,,1197.0
173.0,,2015.0,290000.0,60000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,,20.51,998.0
176.0,Maruti,2018.0,830000.0,5000.0,Petrol,Individual,Automatic,First Owner,5.0,83.1,,21.4,
178.0,Maruti,2011.0,160000.0,25000.0,Petrol,Individual,Manual,Second Owner,,46.3,,19.7,796.0
181.0,,2020.0,524000.0,32000.0,Petrol,,Manual,,5.0,81.86,,20.14,1197.0
182.0,MARUTI,nan,245000.0,,Petrol,Individual,Manual,First Owner,5.0,47.3,kmpl,22.74,796.0
186.0,Maruti,,350000.0,140000.0,Petrol,,Manual,First Owner,,67.04,kmpl,20.51,998.0
189.0,Maruti,2010.0,250000.0,110000.0,Diesel,Individual,Manual,,5.0,73.9,kmpl,21.1,1248.0
,Hyundai,2017.0,1100000.0,37000.0,Diesel,Individual,Manual,First Owner,5.0,126.2,kmpl,19.67,1582.0
192.0,Maruti,2015.0,640000.0,80000.0,Diesel,Individual,Manual,First Owner,7.0,88.76,kmpl,20.77,
199.0,Maruti,2013.0,550000.0,70000.0,Diesel,Individual,Manual,First Owner,5.0,74.0,kmpl,23.4,1248.0
201.0,Hyundai,2009.0,200000.0,,Petrol,Individual,Manual,Second Owner,5.0,78.9,kmpl,20.36,1197.0
202.0,Maruti,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,5.0,74.0,kmpl,23.4,
